8,1,1,1,-5.81,0.62,8.46,-0.15,0.34,-0.31,2.20,-2.56,-2.20
65,1,1,57,-5.75,1.05,7.84,-0.14,0.34,-0.30,-0.02,-2.77,0.24
122,1,1,114,-5.80,0.81,8.02,-0.15,0.34,-0.31,-4.02,-5.20,1.22
179,1,1,171,-5.54,0.91,8.15,-0.15,0.33,-0.31,-7.53,-1.80,4.56
236,1,1,228,-6.39,1.74,7.40,-0.15,0.33,-0.30,-14.03,8.72,4.99
293,1,1,285,-6.93,12.52,8.48,-0.15,0.32,-0.31,-38.59,67.99,5.27
350,1,1,342,-17.51,17.63,12.96,-0.11,0.30,-0.30,-85.44,-34.91,1.42
407,1,1,399,-10.52,4.06,19.60,-0.15,0.27,-0.29,-121.64,-209.92,-16.95
464,1,1,456,-4.35,-8.74,13.49,-0.21,0.25,-0.26,-105.74,-204.29,-69.24
521,1,1,513,-1.25,-13.73,7.21,-0.24,0.20,-0.20,-58.36,-51.91,-75.00
578,1,1,570,-4.44,-13.40,6.92,-0.24,0.18,-0.19,4.59,-62.97,-41.69
635,1,1,627,-3.90,-13.91,3.84,-0.25,0.19,-0.19,73.59,-56.46,20.71
692,1,1,684,-3.97,-12.04,5.57,-0.26,0.21,-0.21,141.25,35.82,81.87
749,1,1,741,-15.53,-11.16,12.86,-0.29,0.28,-0.25,218.01,-45.05,120.07
806,1,1,798,-19.60,-6.94,19.60,-0.31,0.37,-0.24,286.68,-67.49,179.93
863,1,1,855,-19.42,-4.40,19.60,-0.33,0.50,-0.23,286.68,18.24,209.32
920,1,1,912,-19.60,-2.09,19.60,-0.30,0.63,-0.18,286.68,115.54,152.48
977,1,1,969,-14.53,2.95,16.53,-0.23,0.76,-0.03,286.68,55.26,67.83
1034,1,1,1026,-2.96,1.61,4.07,-0.21,0.76,0.09,286.68,91.33,-14.89
1091,1,1,1083,4.70,2.85,2.18,-0.23,0.72,0.17,180.38,-35.69,-43.43
1148,1,1,1140,5.96,7.31,6.61,-0.25,0.68,0.22,56.92,83.33,-41.72
1205,1,1,1197,-7.68,2.72,-3.39,-0.28,0.69,0.19,-73.32,89.16,-4.34
1262,1,1,1254,-8.12,0.76,0.95,-0.29,0.69,0.15,-186.50,67.21,48.90
1319,1,1,1311,-5.40,-3.83,6.25,-0.27,0.73,0.10,-252.36,52.86,66.44
1376,1,1,1368,-3.61,-7.05,7.62,-0.25,0.74,-0.02,-286.55,31.37,51.22
1433,1,1,1425,-3.44,-7.66,10.21,-0.24,0.72,-0.13,-286.72,5.08,23.34
1490,1,1,1482,-6.93,-6.82,10.14,-0.22,0.67,-0.19,-285.11,17.91,15.30
1547,1,1,1539,-8.40,-8.65,11.25,-0.22,0.60,-0.25,-242.68,-5.91,5.54
1604,1,1,1596,-13.39,-9.93,10.72,-0.22,0.51,-0.28,-172.07,65.42,6.54
1661,1,1,1653,-15.48,-7.85,7.84,-0.22,0.47,-0.31,-100.51,-78.48,66.21
1718,1,1,1710,-1.24,-5.45,8.97,-0.23,0.45,-0.29,-40.53,98.68,56.87
1775,1,1,1767,-10.52,-1.87,6.26,-0.19,0.44,-0.31,-14.28,42.74,23.91
1832,1,1,1824,-6.03,0.04,5.80,-0.18,0.44,-0.29,-13.40,-29.09,3.41
1889,1,1,1881,-8.01,2.64,7.04,-0.20,0.43,-0.31,-30.00,-0.37,-13.79
1946,1,1,1938,-7.73,4.32,7.97,-0.19,0.42,-0.31,-50.01,-9.19,-21.49
2003,1,1,1995,-7.24,6.78,9.53,-0.19,0.39,-0.30,-71.67,-15.10,-12.19
2060,1,1,2052,-13.52,11.68,9.83,-0.20,0.37,-0.31,-99.40,-40.55,-15.97 
2142,1,2,1,-10.76,4.30,13.29,-0.21,0.30,-0.28,-136.89,-75.14,-30.29
2200,1,2,58,-8.38,-0.55,13.47,-0.24,0.27,-0.25,-135.82,-143.42,-70.78
2257,1,2,115,-9.07,-5.48,10.08,-0.26,0.20,-0.19,-111.66,-90.84,-92.76
2314,1,2,172,-5.95,-5.86,5.71,-0.25,0.16,-0.14,-78.85,-84.08,-93.05
2371,1,2,229,-4.40,-5.18,1.82,-0.25,0.14,-0.14,-44.60,-59.44,-73.09
2428,1,2,286,-2.11,-5.70,-0.50,-0.25,0.13,-0.13,-5.71,-21.53,-34.20
2485,1,2,343,-4.25,-7.63,0.22,-0.24,0.12,-0.12,39.36,-18.27,29.73
2542,1,2,400,-8.93,-9.42,5.87,-0.26,0.14,-0.13,99.85,0.15,108.24
2599,1,2,457,-12.85,-8.32,9.54,-0.28,0.18,-0.15,172.16,54.21,190.88
2656,1,2,514,-18.99,-12.77,17.44,-0.31,0.26,-0.20,258.10,71.13,223.85
2713,1,2,571,-19.60,-11.66,19.60,-0.30,0.43,-0.25,286.68,70.68,174.90
2770,1,2,628,-19.60,-1.69,19.60,-0.30,0.56,-0.22,286.68,10.46,161.99
2827,1,2,685,-19.60,2.97,19.60,-0.26,0.67,-0.16,286.68,88.45,59.89
2884,1,2,742,-10.14,6.09,19.60,-0.25,0.74,-0.01,286.68,-30.38,-12.63
2941,1,2,799,1.97,5.39,4.38,-0.26,0.75,0.09,229.75,-44.49,-41.85
2998,1,2,856,-0.08,4.57,-1.38,-0.27,0.72,0.15,116.58,25.68,-48.37
3055,1,2,913,-2.16,2.35,0.11,-0.28,0.70,0.16,18.51,64.49,-42.51
3112,1,2,970,-3.85,-0.09,2.20,-0.31,0.69,0.14,-58.86,76.75,-29.19
3169,1,2,1027,-6.21,-1.49,2.96,-0.33,0.69,0.09,-128.90,143.50,-7.60
3226,1,2,1084,-8.27,-1.37,7.55,-0.33,0.71,0.03,-190.64,107.12,19.40
3283,1,2,1141,-11.55,-2.26,9.33,-0.32,0.70,-0.04,-240.47,122.83,50.86
3340,1,2,1198,-11.04,-7.13,10.59,-0.27,0.67,-0.17,-271.82,89.26,79.14
3397,1,2,1255,-9.67,-6.22,10.81,-0.24,0.61,-0.22,-271.69,-23.52,68.24
3454,1,2,1312,-4.27,-8.25,9.76,-0.24,0.55,-0.26,-238.55,-29.53,41.40
3511,1,2,1369,-5.96,-8.76,11.32,-0.24,0.49,-0.28,-181.22,53.94,32.27
3568,1,2,1426,-17.33,-6.09,4.64,-0.23,0.43,-0.28,-115.18,-41.02,50.58
3625,1,2,1483,-5.73,-5.91,6.25,-0.23,0.41,-0.29,-54.36,31.75,62.58
3682,1,2,1540,-8.06,-3.05,7.16,-0.22,0.40,-0.29,-12.15,69.00,37.88
3739,1,2,1597,-7.32,-1.38,6.58,-0.20,0.39,-0.30,-0.93,-18.91,26.29
3796,1,2,1654,-7.55,-0.30,7.02,-0.21,0.40,-0.30,1.00,-2.01,12.55
3853,1,2,1711,-6.96,1.28,7.09,-0.21,0.40,-0.30,1.23,-15.44,4.24
3910,1,2,1768,-7.24,0.11,6.99,-0.22,0.41,-0.28,0.89,4.21,2.36
3967,1,2,1825,-6.42,-0.29,7.10,-0.21,0.41,-0.30,-0.02,-3.88,0.16
4024,1,2,1882,-7.30,-1.02,6.87,-0.22,0.41,-0.29,-1.88,-10.63,0.17
4081,1,2,1939,-7.17,-1.23,7.74,-0.22,0.40,-0.29,-2.37,-5.28,2.27
4138,1,2,1996,-6.93,-1.19,7.09,-0.22,0.40,-0.29,-0.18,2.35,3.26
4195,1,2,2053,-7.29,-0.99,7.00,-0.22,0.40,-0.29,0.79,-3.75,2.99
4277,1,3,1,-6.83,-0.98,6.71,-0.22,0.41,-0.30,-0.38,7.06,2.54
4334,1,3,57,-7.33,-0.68,6.72,-0.22,0.40,-0.29,-2.12,10.28,2.90
4391,1,3,114,-6.87,-1.05,7.47,-0.22,0.40,-0.30,-2.61,-1.78,2.07
4448,1,3,171,-7.17,-1.02,6.96,-0.22,0.40,-0.30,-2.05,4.48,3.05
4505,1,3,228,-6.89,-0.93,7.38,-0.21,0.40,-0.30,-1.42,-3.39,2.34
4562,1,3,285,-6.78,-1.02,6.83,-0.21,0.41,-0.31,-0.84,1.53,1.78
4619,1,3,342,-6.89,-0.60,6.65,-0.21,0.40,-0.29,0.45,7.39,1.09
4676,1,3,399,-7.72,3.96,6.29,-0.21,0.41,-0.31,-10.80,28.65,-0.59
4733,1,3,456,-9.46,15.66,5.89,-0.19,0.39,-0.31,-54.70,84.16,-8.00
4790,1,3,513,-14.06,19.60,13.01,-0.17,0.36,-0.31,-131.64,4.08,-8.56
4847,1,3,570,-11.40,12.15,19.60,-0.16,0.33,-0.30,-184.86,-131.85,-23.65
4904,1,3,627,-7.05,-3.05,19.60,-0.21,0.25,-0.25,-179.31,-177.10,-64.55
4961,1,3,684,-4.51,-9.23,13.17,-0.24,0.19,-0.21,-125.89,-137.31,-96.00
5018,1,3,741,-6.82,-14.97,4.64,-0.24,0.16,-0.16,-60.78,-51.34,-70.44
5075,1,3,798,-2.23,-12.32,-1.13,-0.24,0.14,-0.14,-4.30,-57.83,-26.29
